experiment_id,encoder_type,target_setting_id,target_qed,target_logp,target_sas,n_total_attempts,n_valid,n_unique_valid,n_novel_valid,n_filter_pass,validity_rate,uniqueness_rate,novelty_rate,mean_pairwise_diversity,mean_tanimoto_max_sim,mean_delta_qed,mean_delta_logp,mean_delta_sas,mean_final_pred_qed,mean_final_pred_logp,mean_final_pred_sas,mean_rdkit_qed,mean_rdkit_logp,mean_rdkit_sas,property_hit_rate,mean_qed_pred_error,mean_logp_pred_error,mean_sas_pred_error,mean_opt_steps,mean_final_opt_loss,early_stop_rate,lipinski_compliance_rate,pains_clean_rate,brenk_clean_rate,nih_clean_rate,pearson_r_qed,pearson_r_logp,pearson_r_sas
624d6b2c,GNN,T8,0.7,3.0,2.0,250,250,165,165,48,1.0,0.66,1.0,0.8952,0.093,-2.4863,0.78844,3.09306,0.97872,1.29662,1.5524,nan,nan,nan,nan,nan,nan,nan,200.0,2.488532,0.0,0.928,0.808,0.268,0.268,nan,nan,nan
c6141a08,GNN,T9,0.6,3.5,6.5,250,250,159,159,47,1.0,0.636,1.0,0.891,0.0937,-0.70144,1.9547,2.72188,2.76358,2.80691,4.74087,nan,nan,nan,nan,nan,nan,nan,200.0,9.663067,0.0,0.944,0.828,0.252,0.276,nan,nan,nan
44e9ac20,Hybrid,T1,0.85,2.5,2.5,250,250,167,167,41,1.0,0.668,1.0,0.8923,0.094,-2.38496,1.22762,2.84271,1.08006,1.32883,1.81074,nan,nan,nan,nan,nan,nan,nan,200.0,1.606865,0.0,0.928,0.832,0.22,0.228,nan,nan,nan
a54e5af2,Hybrid,T2,0.65,3.0,3.5,250,250,163,163,38,1.0,0.652,1.0,0.8991,0.0961,-2.13826,1.06804,2.39555,1.32676,1.57622,2.37306,nan,nan,nan,nan,nan,nan,nan,200.0,2.990669,0.0,0.916,0.832,0.184,0.208,nan,nan,nan
9e879f0e,Hybrid,T3,0.35,4.5,5.0,250,250,168,168,41,1.0,0.672,1.0,0.8957,0.0952,-1.55859,0.8002,2.18251,1.90643,2.20589,3.35024,nan,nan,nan,nan,nan,nan,nan,200.0,7.704973,0.0,0.908,0.82,0.192,0.22,nan,nan,nan
0924e9be,Hybrid,T4,0.8,5.0,3.0,250,250,164,164,40,1.0,0.656,1.0,0.9037,0.0936,-1.75981,0.48868,2.97662,1.70521,2.15064,2.55129,nan,nan,nan,nan,nan,nan,nan,200.0,6.158243,0.0,0.928,0.82,0.188,0.208,nan,nan,nan
a44e6626,Hybrid,T5,0.8,2.5,2.0,250,250,170,170,42,1.0,0.68,1.0,0.8943,0.0942,-2.54518,1.15087,3.05133,0.91984,1.25207,1.49264,nan,nan,nan,nan,nan,nan,nan,199.1,1.428825,0.02,0.928,0.844,0.228,0.216,nan,nan,nan
6aa67667,Hybrid,T6,0.6,0.5,3.5,250,250,149,149,72,1.0,0.596,1.0,0.8955,0.0938,-2.76254,2.3508,1.71409,0.70248,0.76896,1.6916,nan,nan,nan,nan,nan,nan,nan,200.0,2.279802,0.0,0.944,0.804,0.328,0.36,nan,nan,nan
b224f726,Hybrid,T7,0.5,5.5,4.0,250,250,177,177,35,1.0,0.708,1.0,0.9001,0.0943,-0.97029,1.0787,3.13111,2.49472,2.97977,3.62748,nan,nan,nan,nan,nan,nan,nan,200.0,12.02761,0.0,0.904,0.84,0.184,0.204,nan,nan,nan
cd7c8990,Hybrid,T8,0.7,3.0,2.0,250,250,165,165,46,1.0,0.66,1.0,0.8917,0.0946,-2.4863,0.78844,3.09306,0.97872,1.29662,1.5524,nan,nan,nan,nan,nan,nan,nan,200.0,2.488532,0.0,0.944,0.832,0.244,0.236,nan,nan,nan
f52fd7a9,Hybrid,T9,0.6,3.5,6.5,250,250,164,164,54,1.0,0.656,1.0,0.9005,0.0944,-0.70144,1.9547,2.72188,2.76358,2.80691,4.74087,nan,nan,nan,nan,nan,nan,nan,200.0,9.663067,0.0,0.904,0.8,0.232,0.276,nan,nan,nan
